"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"860Z200US01089","ZCTA5 01089","12598","513","7374","478","5224","518",
"860Z200US01092","ZCTA5 01092","584","237","332","164","252","205",
"860Z200US01093","ZCTA5 01093","98","45","98","45","0","14",
"860Z200US01094","ZCTA5 01094","16","14","16","14","0","14",
"860Z200US01095","ZCTA5 01095","5377","330","4853","312","524","169",
"860Z200US01096","ZCTA5 01096","1071","96","929","100","142","52",
"860Z200US01097","ZCTA5 01097","14","15","5","9","9","11",
"860Z200US01098","ZCTA5 01098","496","67","463","64","33","15",
"860Z200US01103","ZCTA5 01103","1550","167","130","61","1420","166",
"860Z200US01104","ZCTA5 01104","8844","632","4074","501","4770","613",
"860Z200US01105","ZCTA5 01105","4896","510","553","217","4343","496",
"860Z200US01106","ZCTA5 01106","5888","316","5333","305","555","131",
"860Z200US01107","ZCTA5 01107","4164","345","1299","281","2865","375",
"860Z200US01108","ZCTA5 01108","10552","597","4986","647","5566","654",
"860Z200US01109","ZCTA5 01109","9746","621","4476","400","5270","590",
"860Z200US01118","ZCTA5 01118","5630","336","4415","397","1215","240",
"860Z200US01119","ZCTA5 01119","5221","416","4010","403","1211","280",
"860Z200US01128","ZCTA5 01128","1117","199","1056","199","61","38",
"860Z200US01129","ZCTA5 01129","2582","238","2056","214","526","167",
"860Z200US01144","ZCTA5 01144","0","14","0","14","0","14",
"860Z200US01151","ZCTA5 01151","3606","313","1628","271","1978","288",
"860Z200US01201","ZCTA5 01201","20199","587","12587","537","7612","631",
"860Z200US01220","ZCTA5 01220","4081","193","2517","199","1564","215",
"860Z200US01222","ZCTA5 01222","232","89","232","89","0","14",
"860Z200US01223","ZCTA5 01223","1201","196","1146","196","55","23",
"860Z200US01224","ZCTA5 01224","88","61","77","59","11","18",
"860Z200US01225","ZCTA5 01225","1513","142","1323","150","190","94",
"860Z200US01226","ZCTA5 01226","2831","249","2139","220","692","254",
"860Z200US01229","ZCTA5 01229","87","51","66","47","21","23",
"860Z200US01230","ZCTA5 01230","3652","274","2737","299","915","233",
"860Z200US01235","ZCTA5 01235","1069","119","899","114","170","59",
"860Z200US01236","ZCTA5 01236","650","144","491","138","159","113",
"860Z200US01237","ZCTA5 01237","992","162","952","162","40","23",
"860Z200US01238","ZCTA5 01238","2711","234","2132","208","579","184",
"860Z200US01240","ZCTA5 01240","2289","202","1635","205","654","195",
"860Z200US01242","ZCTA5 01242","41","62","41","62","0","14",
"860Z200US01243","ZCTA5 01243","86","28","86","28","0","14",
"860Z200US01244","ZCTA5 01244","112","37","103","38","9","14",
"860Z200US01245","ZCTA5 01245","322","96","307","96","15","14",
"860Z200US01247","ZCTA5 01247","6723","396","3903","343","2820","353",
"860Z200US01253","ZCTA5 01253","403","79","323","62","80","56",
"860Z200US01254","ZCTA5 01254","431","53","412","52","19","10",
"860Z200US01255","ZCTA5 01255","335","52","323","52","12","9",
"860Z200US01256","ZCTA5 01256","366","57","339","58","27","15",
"860Z200US01257","ZCTA5 01257","1062","175","764","178","298","111",
"860Z200US01258","ZCTA5 01258","85","22","77","22","8","11",
"860Z200US01259","ZCTA5 01259","284","76","254","72","30","20",
"860Z200US01260","ZCTA5 01260","9","15","9","15","0","14",
"860Z200US01262","ZCTA5 01262","662","111","508","98","154","58",
"860Z200US01264","ZCTA5 01264","85","23","68","20","17","12",
"860Z200US01266","ZCTA5 01266","454","71","403","70","51","31",
"860Z200US01267","ZCTA5 01267","2724","197","2002","179","722","188",
"860Z200US01270","ZCTA5 01270","399","66","387","65","12","14",
"860Z200US01301","ZCTA5 01301","8291","258","4553","269","3738","313",
"860Z200US01330","ZCTA5 01330","834","100","704","100","130","58",
"860Z200US01331","ZCTA5 01331","5425","290","4055","257","1370","273",
"860Z200US01337","ZCTA5 01337","1078","89","888","87","190","69",
"860Z200US01338","ZCTA5 01338","47","31","43","30","4","6",
"860Z200US01339","ZCTA5 01339","615","96","534","93","81","31",
"860Z200US01340","ZCTA5 01340","811","103","672","91","139","61",
"860Z200US01341","ZCTA5 01341","700","92","633","94","67","28",
"860Z200US01342","ZCTA5 01342","447","138","297","112","150","80",
"860Z200US01343","ZCTA5 01343","81","24","61","17","20","19",
"860Z200US01344","ZCTA5 01344","685","72","525","57","160","46",
"860Z200US01346","ZCTA5 01346","232","77","223","76","9","11",
"860Z200US01347","ZCTA5 01347","72","49","34","25","38","44",
"860Z200US01349","ZCTA5 01349","358","94","254","94","104","57",
"860Z200US01350","ZCTA5 01350","55","26","43","23","12","14",
"860Z200US01351","ZCTA5 01351","998","138","758","124","240","90",
"860Z200US01354","ZCTA5 01354","658","78","510","65","148","43",
"860Z200US01355","ZCTA5 01355","399","68","349","64","50","28",
"860Z200US01360","ZCTA5 01360","1271","83","1122","91","149","63",
"860Z200US01364","ZCTA5 01364","3099","235","2086","200","1013","176",
"860Z200US01366","ZCTA5 01366","463","53","420","50","43","21",
"860Z200US01367","ZCTA5 01367","217","37","192","36","25","14",
"860Z200US01368","ZCTA5 01368","545","58","494","67","51","30",
"860Z200US01370","ZCTA5 01370","1709","131","1117","118","592","106",
"860Z200US01373","ZCTA5 01373","2301","226","1881","201","420","127",
"860Z200US01375","ZCTA5 01375","1788","129","720","101","1068","147",
"860Z200US01376","ZCTA5 01376","2296","194","1223","161","1073","149",
"860Z200US01378","ZCTA5 01378","378","48","338","46","40","17",
"860Z200US01379","ZCTA5 01379","326","61","275","60","51","27",
"860Z200US01380","ZCTA5 01380","15","12","15","12","0","14",
"860Z200US01420","ZCTA5 01420","16933","634","9571","658","7362","597",
"860Z200US01430","ZCTA5 01430","2366","201","2258","196","108","94",
"860Z200US01431","ZCTA5 01431","1264","71","1191","75","73","37",
"860Z200US01432","ZCTA5 01432","3510","206","2471","274","1039","233",
"860Z200US01434","ZCTA5 01434","328","111","230","76","98","68",
"860Z200US01436","ZCTA5 01436","1280","155","983","175","297","141",
"860Z200US01438","ZCTA5 01438","119","64","97","56","22","37",
"860Z200US01440","ZCTA5 01440","9021","336","5159","425","3862","427",
"860Z200US01450","ZCTA5 01450","3659","257","3278","227","381","131",
"860Z200US01451","ZCTA5 01451","1807","153","1644","142","163","81",
"860Z200US01452","ZCTA5 01452","1630","133","1484","145","146","59",
"860Z200US01453","ZCTA5 01453","18148","685","11384","646","6764","573",
"860Z200US01460","ZCTA5 01460","3637","180","3074","202","563","180",
"860Z200US01462","ZCTA5 01462","4538","234","3691","319","847","189",
"860Z200US01463","ZCTA5 01463","4322","274","3593","256","729","206",
"860Z200US01464","ZCTA5 01464","2404","143","1978","165","426","162",
"860Z200US01468","ZCTA5 01468","1637","313","1520","295","117","75",
"860Z200US01469","ZCTA5 01469","2659","175","2242","168","417","113",
"860Z200US01473","ZCTA5 01473","3275","213","2866","267","409","185",
"860Z200US01474","ZCTA5 01474","777","114","643","109","134","73",
"860Z200US01475","ZCTA5 01475","3780","197","2955","185","825","142",
"860Z200US01501","ZCTA5 01501","6822","268","5465","251","1357","200",
"860Z200US01503","ZCTA5 01503","1447","126","1155","102","292","93",
"860Z200US01504","ZCTA5 01504","3969","277","2927","296","1042","254",
"860Z200US01505","ZCTA5 01505","1932","82","1543","132","389","135",
"860Z200US01506","ZCTA5 01506","1473","111","1247","136","226","84",
"860Z200US01507","ZCTA5 01507","4977","269","4136","335","841","238",
"860Z200US01510","ZCTA5 01510","6663","340","3526","360","3137","363",
"860Z200US01515","ZCTA5 01515","905","133","742","89","163","133",
"860Z200US01516","ZCTA5 01516","3323","232","2779","259","544","202",
"860Z200US01518","ZCTA5 01518","1247","155","898","139","349","141",
"860Z200US01519","ZCTA5 01519","2724","260","2177","262","547","221",
"860Z200US01520","ZCTA5 01520","5946","243","5071","243","875","232",
"860Z200US01521","ZCTA5 01521","1164","101","1117","98","47","37",
"860Z200US01522","ZCTA5 01522","1178","172","984","171","194","96",
"860Z200US01523","ZCTA5 01523","2944","240","2442","293","502","177",
"860Z200US01524","ZCTA5 01524","2229","230","2037","218","192","81",
"860Z200US01525","ZCTA5 01525","0","14","0","14","0","14",
"860Z200US01527","ZCTA5 01527","5292","317","3910","340","1382","263",
"860Z200US01529","ZCTA5 01529","1222","76","1082","83","140","53",
"860Z200US01531","ZCTA5 01531","380","46","326","41","54","22",
"860Z200US01532","ZCTA5 01532","5715","240","4881","268","834","180",
"860Z200US01534","ZCTA5 01534","2407","276","1926","274","481","129",
"860Z200US01535","ZCTA5 01535","1897","138","1355","188","542","187",
"860Z200US01536","ZCTA5 01536","3021","340","2321","284","700","214",
"860Z200US01537","ZCTA5 01537","735","164","497","160","238","119",
